Species
E (entity)	1	E1
V_000_76        0.899202        0.9046813       0.9412354
V_000_77        1.055973        0.8836234       0.8438407
V_000_78        0.9311488       1.014083        1.037764
V_000_79        0.9522602       1.045488        1.160718
V_000_80        0.9906066       1.007902        0.9184419
V_000_81        0.9518562       0.9824801       1.020931
V_000_82        0.9918755       1.122605        1.152693
V_000_83        0.9647076       1.102041        0.9089772
V_000_84        0.8618413       1.037654        1.106043
V_000_85        0.861337        0.8022755       1.037398
V_000_86        1.029232        1.12648 0.8814681
V_000_87        0.7919378       1.056587        0.7498996
V_000_88        1.112781        1.132077        0.9809621
V_000_89        0.9710521       0.9101316       0.9411299
V_000_90        1.009929        1.045861        1.10101
V_000_91        1.012675        0.8088823       0.9799337
V_000_92        1.180227        1.070002        0.9815205
V_000_93        1.171365        1.094109        0.910907
V_000_94        0.9002563       0.9218042       1.025487
V_000_95        0.9844446       1.014   1.102924
V_000_96        0.9834054       1.127651        1.02344
V_000_97        1.008386        1.071964        1.001596
V_000_98        0.8008643       1.143698        0.8292321
V_000_99        1.0567  1.008714        1.105694
V_000_100       1.105182        0.9734777       0.9747329
V_001_1 1.063372        1.004712        -0.9872689
V_001_2 1.00339 1.086683        -1.100982
V_001_3 1.107634        1.011127        -1.107053
V_001_4 0.918415        1.032169        -0.814322
V_001_5 1.013151        1.012079        -0.844788
V_001_6 0.8466242       1.072804        -0.9756303
V_001_7 1.079891        1.113491        -0.9350986
V_001_8 1.159043        1.076512        -1.168842
V_001_9 0.964734        0.8747149       -0.9798466
V_001_10        1.024882        0.9116008       -0.8305914
V_001_11        0.8621449       0.930174        -1.02752
V_001_12        0.8972591       1.251366        -0.7953129
V_001_13        0.8992511       1.040471        -0.9173393
V_001_14        1.080682        0.8585444       -1.083523
V_001_15        0.9534969       1.089228        -0.9515019
V_001_16        1.022503        0.9097732       -0.9510164
V_001_17        1.03081 0.9052752       -1.164135
V_001_18        1.217905        1.072526        -0.8267577
V_001_19        1.005996        1.005873        -1.03001
V_001_20        0.9257397       0.9612961       -0.9077951
V_001_21        1.07186 0.8755037       -1.158472
V_001_22        1.051367        0.9304486       -0.9567385
V_001_23        0.9681996       1.001456        -0.9892017
V_001_24        1.042739        1.071634        -0.8962135
V_001_25        1.082148        1.068019        -1.037483
V_001_26        1.018443        0.9398503       -1.068267
V_001_27        0.9662203       1.052328        -1.279164
V_001_28        0.8256184       1.007463        -0.993688
V_001_29        0.9986214       1.031771        -1.110675
V_001_30        1.06913 0.8391805       -0.9968547
V_001_31        1.102899        1.203696        -1.073913
V_001_32        0.9278587       0.8582594       -1.074414
V_001_33        0.9932528       0.9888593       -0.7583431
V_001_34        1.097611        0.9664002       -1.121961
V_001_35        1.063381        0.9903324       -0.8643791
V_001_36        1.119055        1.143357        -1.012789
V_001_37        1.019723        1.156706        -1.095144
V_001_38        1.083618        0.9578695       -0.9336104
V_001_39        0.9785691       1.095782        -1.000388
V_001_40        1.023163        1.044332        -0.8603096
V_001_41        1.081325        0.9778628       -0.9978439
V_001_42        0.908271        1.025677        -0.8780988
V_001_43        0.9940547       0.9294009       -0.9750882
V_001_44        0.9497611       1.143853        -0.9237688
V_001_45        0.9878476       0.9879812       -0.9488128
V_001_46        1.127361        0.9809887       -1.049008
V_001_47        0.9295133       1.131404        -0.9999513
V_001_48        0.9648032       0.9317692       -0.9495823
V_001_49        0.9310259       1.079129        -1.106019
V_001_50        1.260616        0.9107516       -1.193819
V_001_51        0.8452489       0.9580791       -0.9348537
V_001_52        1.008838        0.9897306       -1.046759
V_001_53        0.9332621       0.9951132       -0.9791598
V_001_54        0.9110045       1.188949        -0.9782603
V_001_55        1.105719        0.8962473       -1.006735
V_001_56        0.9648262       0.9482439       -0.9738361
V_001_57        1.061387        0.9648818       -1.065902
V_001_58        1.150011        1.101484        -1.028165
V_001_59        1.013801        0.9694817       -1.051674
V_001_60        0.9512977       1.010789        -1.036073
V_001_61        0.8947977       0.9914359       -0.9272731
V_001_62        0.9885179       1.057135        -1.10525
V_001_63        0.9616497       1.087442        -0.8457916
V_001_64        1.362287        1.066795        -1.077223
V_001_65        1.006241        0.8086354       -1.163032
V_001_66        0.9458081       0.929177        -1.061946
V_001_67        0.9295063       1.04423 -1.132412
V_001_68        0.9584057       1.181485        -0.9235086
V_001_69        0.9633428       0.9558201       -0.8955842
V_001_70        0.9568251       1.17834 -0.9620681
V_001_71        0.9112006       0.9804369       -0.9081861
V_001_72        0.9782468       0.8922817       -1.083824
V_001_73        1.105003        1.057043        -1.089271
V_001_74        0.9204755       1.022267        -1.166989
V_001_75        0.8060916       0.9438254       -0.9667324
V_001_76        0.899202        0.9046813       -1.058765
V_001_77        1.055973        0.8836234       -1.156159
V_001_78        0.9311488       1.014083        -0.9622357
V_001_79        0.9522602       1.045488        -0.8392817
V_001_80        0.9906066       1.007902        -1.081558
V_001_81        0.9518562       0.9824801       -0.9790686
V_001_82        0.9918755       1.122605        -0.8473074
V_001_83        0.9647076       1.102041        -1.091023
V_001_84        0.8618413       1.037654        -0.8939566
V_001_85        0.861337        0.8022755       -0.9626016
V_001_86        1.029232        1.12648 -1.118532
V_001_87        0.7919378       1.056587        -1.2501
V_001_88        1.112781        1.132077        -1.019038
V_001_89        0.9710521       0.9101316       -1.05887
V_001_90        1.009929        1.045861        -0.8989903
V_001_91        1.012675        0.8088823       -1.020066
V_001_92        1.180227        1.070002        -1.01848
V_001_93        1.171365        1.094109        -1.089093
V_001_94        0.9002563       0.9218042       -0.9745134
V_001_95        0.9844446       1.014   -0.8970763
V_001_96        0.9834054       1.127651        -0.9765597
V_001_97        1.008386        1.071964        -0.9984036
V_001_98        0.8008643       1.143698        -1.170768
V_001_99        1.0567  1.008714        -0.8943064
V_001_100       1.105182        0.9734777       -1.025267
V_010_1 1.063372        -0.9952879      1.012731
V_010_2 1.00339 -0.913317       0.8990179
V_010_3 1.107634        -0.988873       0.8929472
V_010_4 0.918415        -0.9678312      1.185678
V_010_5 1.013151        -0.9879214      1.155212
V_010_6 0.8466242       -0.9271958      1.02437
V_010_7 1.079891        -0.8865094      1.064901
V_010_8 1.159043        -0.9234878      0.8311582
V_010_9 0.964734        -1.125285       1.020153
V_010_10        1.024882        -1.088399       1.169409
V_010_11        0.8621449       -1.069826       0.9724801
V_010_12        0.8972591       -0.7486335      1.204687
V_010_13        0.8992511       -0.9595287      1.082661
V_010_14        1.080682        -1.141456       0.9164767
V_010_15        0.9534969       -0.9107721      1.048498
V_010_16        1.022503        -1.090227       1.048984
V_010_17        1.03081 -1.094725       0.8358646
V_010_18        1.217905        -0.9274738      1.173242
V_010_19        1.005996        -0.994127       0.9699904
V_010_20        0.9257397       -1.038704       1.092205
V_010_21        1.07186 -1.124496       0.8415283
V_010_22        1.051367        -1.069551       1.043262
V_010_23        0.9681996       -0.9985436      1.010798
V_010_24        1.042739        -0.9283663      1.103786
V_010_25        1.082148        -0.9319813      0.9625166
V_010_26        1.018443        -1.06015        0.9317335
V_010_27        0.9662203       -0.9476721      0.7208362
V_010_28        0.8256184       -0.9925373      1.006312
V_010_29        0.9986214       -0.9682295      0.8893253
V_010_30        1.06913 -1.16082        1.003145
V_010_31        1.102899        -0.7963037      0.9260867
V_010_32        0.9278587       -1.141741       0.9255861
V_010_33        0.9932528       -1.011141       1.241657
V_010_34        1.097611        -1.0336 0.8780385
V_010_35        1.063381        -1.009668       1.135621
V_010_36        1.119055        -0.856643       0.9872108
V_010_37        1.019723        -0.8432943      0.9048561
V_010_38        1.083618        -1.042131       1.06639
V_010_39        0.9785691       -0.9042181      0.999612
V_010_40        1.023163        -0.9556681      1.13969
V_010_41        1.081325        -1.022137       1.002156
V_010_42        0.908271        -0.9743227      1.121901
V_010_43        0.9940547       -1.070599       1.024912
V_010_44        0.9497611       -0.8561472      1.076231
V_010_45        0.9878476       -1.012019       1.051187
V_010_46        1.127361        -1.019011       0.9509919
V_010_47        0.9295133       -0.8685959      1.000049
V_010_48        0.9648032       -1.068231       1.050418
V_010_49        0.9310259       -0.9208709      0.8939811
V_010_50        1.260616        -1.089248       0.8061805
V_010_51        0.8452489       -1.041921       1.065146
V_010_52        1.008838        -1.010269       0.9532407
V_010_53        0.9332621       -1.004887       1.02084
V_010_54        0.9110045       -0.8110514      1.02174
V_010_55        1.105719        -1.103753       0.9932651
V_010_56        0.9648262       -1.051756       1.026164
V_010_57        1.061387        -1.035118       0.9340979
V_010_58        1.150011        -0.8985162      0.9718353
V_010_59        1.013801        -1.030518       0.9483255
V_010_60        0.9512977       -0.9892113      0.963927
V_010_61        0.8947977       -1.008564       1.072727
V_010_62        0.9885179       -0.942865       0.8947496
V_010_63        0.9616497       -0.9125582      1.154208
V_010_64        1.362287        -0.9332051      0.9227765
V_010_65        1.006241        -1.191365       0.836968
V_010_66        0.9458081       -1.070823       0.9380544
V_010_67        0.9295063       -0.9557703      0.867588
V_010_68        0.9584057       -0.8185147      1.076491
V_010_69        0.9633428       -1.04418        1.104416
V_010_70        0.9568251       -0.82166        1.037932
V_010_71        0.9112006       -1.019563       1.091814
V_010_72        0.9782468       -1.107718       0.9161756
V_010_73        1.105003        -0.9429567      0.9107287
V_010_74        0.9204755       -0.9777332      0.8330112
V_010_75        0.8060916       -1.056175       1.033268
V_010_76        0.899202        -1.095319       0.9412354
V_010_77        1.055973        -1.116377       0.8438407
V_010_78        0.9311488       -0.9859168      1.037764
V_010_79        0.9522602       -0.9545121      1.160718
V_010_80        0.9906066       -0.992098       0.9184419
V_010_81        0.9518562       -1.01752        1.020931
V_010_82        0.9918755       -0.877395       1.152693
V_010_83        0.9647076       -0.8979592      0.9089772
V_010_84        0.8618413       -0.9623464      1.106043
V_010_85        0.861337        -1.197724       1.037398
V_010_86        1.029232        -0.8735201      0.8814681
V_010_87        0.7919378       -0.9434133      0.7498996
V_010_88        1.112781        -0.8679231      0.9809621
V_010_89        0.9710521       -1.089868       0.9411299
V_010_90        1.009929        -0.9541393      1.10101
V_010_91        1.012675        -1.191118       0.9799337
V_010_92        1.180227        -0.9299981      0.9815205
V_010_93        1.171365        -0.9058912      0.910907
V_010_94        0.9002563       -1.078196       1.025487
V_010_95        0.9844446       -0.9860004      1.102924
V_010_96        0.9834054       -0.8723486      1.02344
V_010_97        1.008386        -0.9280356      1.001596
V_010_98        0.8008643       -0.8563018      0.8292321
V_010_99        1.0567  -0.9912861      1.105694
V_010_100       1.105182        -1.026522       0.9747329
V_011_1 1.063372        -0.9952879      -0.9872689
V_011_2 1.00339 -0.913317       -1.100982
V_011_3 1.107634        -0.988873       -1.107053
V_011_4 0.918415        -0.9678312      -0.814322
V_011_5 1.013151        -0.9879214      -0.844788
V_011_6 0.8466242       -0.9271958      -0.9756303
V_011_7 1.079891        -0.8865094      -0.9350986
V_011_8 1.159043        -0.9234878      -1.168842
V_011_9 0.964734        -1.125285       -0.9798466
V_011_10        1.024882        -1.088399       -0.8305914
V_011_11        0.8621449       -1.069826       -1.02752
V_011_12        0.8972591       -0.7486335      -0.7953129
V_011_13        0.8992511       -0.9595287      -0.9173393
V_011_14        1.080682        -1.141456       -1.083523
V_011_15        0.9534969       -0.9107721      -0.9515019
V_011_16        1.022503        -1.090227       -0.9510164
V_011_17        1.03081 -1.094725       -1.164135
V_011_18        1.217905        -0.9274738      -0.8267577
V_011_19        1.005996        -0.994127       -1.03001
V_011_20        0.9257397       -1.038704       -0.9077951
V_011_21        1.07186 -1.124496       -1.158472
V_011_22        1.051367        -1.069551       -0.9567385
V_011_23        0.9681996       -0.9985436      -0.9892017
V_011_24        1.042739        -0.9283663      -0.8962135
V_011_25        1.082148        -0.9319813      -1.037483
V_011_26        1.018443        -1.06015        -1.068267
V_011_27        0.9662203       -0.9476721      -1.279164
V_011_28        0.8256184       -0.9925373      -0.993688
V_011_29        0.9986214       -0.9682295      -1.110675
V_011_30        1.06913 -1.16082        -0.9968547
V_011_31        1.102899        -0.7963037      -1.073913
V_011_32        0.9278587       -1.141741       -1.074414
V_011_33        0.9932528       -1.011141       -0.7583431
V_011_34        1.097611        -1.0336 -1.121961
V_011_35        1.063381        -1.009668       -0.8643791
V_011_36        1.119055        -0.856643       -1.012789
V_011_37        1.019723        -0.8432943      -1.095144
V_011_38        1.083618        -1.042131       -0.9336104
V_011_39        0.9785691       -0.9042181      -1.000388
V_011_40        1.023163        -0.9556681      -0.8603096
V_011_41        1.081325        -1.022137       -0.9978439
V_011_42        0.908271        -0.9743227      -0.8780988
V_011_43        0.9940547       -1.070599       -0.9750882
V_011_44        0.9497611       -0.8561472      -0.9237688
V_011_45        0.9878476       -1.012019       -0.9488128
V_011_46        1.127361        -1.019011       -1.049008
V_011_47        0.9295133       -0.8685959      -0.9999513
V_011_48        0.9648032       -1.068231       -0.9495823
V_011_49        0.9310259       -0.9208709      -1.106019
V_011_50        1.260616        -1.089248       -1.193819
V_011_51        0.8452489       -1.041921       -0.9348537
V_011_52        1.008838        -1.010269       -1.046759
V_011_53        0.9332621       -1.004887       -0.9791598
V_011_54        0.9110045       -0.8110514      -0.9782603
V_011_55        1.105719        -1.103753       -1.006735
V_011_56        0.9648262       -1.051756       -0.9738361
V_011_57        1.061387        -1.035118       -1.065902
V_011_58        1.150011        -0.8985162      -1.028165
V_011_59        1.013801        -1.030518       -1.051674
V_011_60        0.9512977       -0.9892113      -1.036073
V_011_61        0.8947977       -1.008564       -0.9272731
V_011_62        0.9885179       -0.942865       -1.10525
V_011_63        0.9616497       -0.9125582      -0.8457916
V_011_64        1.362287        -0.9332051      -1.077223
V_011_65        1.006241        -1.191365       -1.163032
V_011_66        0.9458081       -1.070823       -1.061946
V_011_67        0.9295063       -0.9557703      -1.132412
V_011_68        0.9584057       -0.8185147      -0.9235086
V_011_69        0.9633428       -1.04418        -0.8955842
V_011_70        0.9568251       -0.82166        -0.9620681
V_011_71        0.9112006       -1.019563       -0.9081861
V_011_72        0.9782468       -1.107718       -1.083824
V_011_73        1.105003        -0.9429567      -1.089271
V_011_74        0.9204755       -0.9777332      -1.166989
V_011_75        0.8060916       -1.056175       -0.9667324
V_011_76        0.899202        -1.095319       -1.058765
V_011_77        1.055973        -1.116377       -1.156159
V_011_78        0.9311488       -0.9859168      -0.9622357
V_011_79        0.9522602       -0.9545121      -0.8392817
V_011_80        0.9906066       -0.992098       -1.081558
V_011_81        0.9518562       -1.01752        -0.9790686
V_011_82        0.9918755       -0.877395       -0.8473074
V_011_83        0.9647076       -0.8979592      -1.091023
V_011_84        0.8618413       -0.9623464      -0.8939566
V_011_85        0.861337        -1.197724       -0.9626016
V_011_86        1.029232        -0.8735201      -1.118532
V_011_87        0.7919378       -0.9434133      -1.2501
V_011_88        1.112781        -0.8679231      -1.019038
V_011_89        0.9710521       -1.089868       -1.05887
V_011_90        1.009929        -0.9541393      -0.8989903
V_011_91        1.012675        -1.191118       -1.020066
V_011_92        1.180227        -0.9299981      -1.01848
V_011_93        1.171365        -0.9058912      -1.089093
V_011_94        0.9002563       -1.078196       -0.9745134
V_011_95        0.9844446       -0.9860004      -0.8970763
V_011_96        0.9834054       -0.8723486      -0.9765597
V_011_97        1.008386        -0.9280356      -0.9984036
V_011_98        0.8008643       -0.8563018      -1.170768
V_011_99        1.0567  -0.9912861      -0.8943064
V_011_100       1.105182        -1.026522       -1.025267
V_100_1 -0.9366278      1.004712        1.012731
V_100_2 -0.9966099      1.086683        0.8990179
V_100_3 -0.8923663      1.011127        0.8929472
V_100_4 -1.081585       1.032169        1.185678
V_100_5 -0.9868488      1.012079        1.155212
V_100_6 -1.153376       1.072804        1.02437
V_100_7 -0.9201093      1.113491        1.064901
V_100_8 -0.8409575      1.076512        0.8311582
V_100_9 -1.035266       0.8747149       1.020153
V_100_10        -0.9751185      0.9116008       1.169409
V_100_11        -1.137855       0.930174        0.9724801
V_100_12        -1.102741       1.251366        1.204687
V_100_13        -1.100749       1.040471        1.082661
V_100_14        -0.9193175      0.8585444       0.9164767
V_100_15        -1.046503       1.089228        1.048498
V_100_16        -0.977497       0.9097732       1.048984
V_100_17        -0.9691895      0.9052752       0.8358646
V_100_18        -0.7820951      1.072526        1.173242
V_100_19        -0.9940036      1.005873        0.9699904
V_100_20        -1.07426        0.9612961       1.092205
V_100_21        -0.9281396      0.8755037       0.8415283
V_100_22        -0.948633       0.9304486       1.043262
V_100_23        -1.0318 1.001456        1.010798
V_100_24        -0.9572608      1.071634        1.103786
V_100_25        -0.9178522      1.068019        0.9625166
V_100_26        -0.9815573      0.9398503       0.9317335
V_100_27        -1.03378        1.052328        0.7208362
V_100_28        -1.174382       1.007463        1.006312
V_100_29        -1.001379       1.031771        0.8893253
V_100_30        -0.9308701      0.8391805       1.003145
V_100_31        -0.8971008      1.203696        0.9260867
V_100_32        -1.072141       0.8582594       0.9255861
V_100_33        -1.006747       0.9888593       1.241657
V_100_34        -0.902389       0.9664002       0.8780385
V_100_35        -0.9366195      0.9903324       1.135621
V_100_36        -0.8809448      1.143357        0.9872108
V_100_37        -0.980277       1.156706        0.9048561
V_100_38        -0.9163816      0.9578695       1.06639
V_100_39        -1.021431       1.095782        0.999612
V_100_40        -0.9768374      1.044332        1.13969
V_100_41        -0.9186749      0.9778628       1.002156
V_100_42        -1.091729       1.025677        1.121901
V_100_43        -1.005945       0.9294009       1.024912
V_100_44        -1.050239       1.143853        1.076231
V_100_45        -1.012152       0.9879812       1.051187
V_100_46        -0.8726389      0.9809887       0.9509919
V_100_47        -1.070487       1.131404        1.000049
V_100_48        -1.035197       0.9317692       1.050418
V_100_49        -1.068974       1.079129        0.8939811
V_100_50        -0.7393842      0.9107516       0.8061805
V_100_51        -1.154751       0.9580791       1.065146
V_100_52        -0.9911622      0.9897306       0.9532407
V_100_53        -1.066738       0.9951132       1.02084
V_100_54        -1.088995       1.188949        1.02174
V_100_55        -0.8942809      0.8962473       0.9932651
V_100_56        -1.035174       0.9482439       1.026164
V_100_57        -0.9386132      0.9648818       0.9340979
V_100_58        -0.8499893      1.101484        0.9718353
V_100_59        -0.9861987      0.9694817       0.9483255
V_100_60        -1.048702       1.010789        0.963927
V_100_61        -1.105202       0.9914359       1.072727
V_100_62        -1.011482       1.057135        0.8947496
V_100_63        -1.03835        1.087442        1.154208
V_100_64        -0.6377134      1.066795        0.9227765
V_100_65        -0.9937593      0.8086354       0.836968
V_100_66        -1.054192       0.929177        0.9380544
V_100_67        -1.070494       1.04423 0.867588
V_100_68        -1.041594       1.181485        1.076491
V_100_69        -1.036657       0.9558201       1.104416
V_100_70        -1.043175       1.17834 1.037932
V_100_71        -1.088799       0.9804369       1.091814
V_100_72        -1.021753       0.8922817       0.9161756
V_100_73        -0.8949971      1.057043        0.9107287
V_100_74        -1.079525       1.022267        0.8330112
V_100_75        -1.193908       0.9438254       1.033268
V_100_76        -1.100798       0.9046813       0.9412354
V_100_77        -0.9440273      0.8836234       0.8438407
V_100_78        -1.068851       1.014083        1.037764
V_100_79        -1.04774        1.045488        1.160718
V_100_80        -1.009393       1.007902        0.9184419
V_100_81        -1.048144       0.9824801       1.020931
V_100_82        -1.008125       1.122605        1.152693
V_100_83        -1.035292       1.102041        0.9089772
V_100_84        -1.138159       1.037654        1.106043
V_100_85        -1.138663       0.8022755       1.037398
V_100_86        -0.9707676      1.12648 0.8814681
V_100_87        -1.208062       1.056587        0.7498996
V_100_88        -0.8872195      1.132077        0.9809621
V_100_89        -1.028948       0.9101316       0.9411299
V_100_90        -0.990071       1.045861        1.10101
V_100_91        -0.9873255      0.8088823       0.9799337
V_100_92        -0.8197727      1.070002        0.9815205
V_100_93        -0.8286345      1.094109        0.910907
V_100_94        -1.099744       0.9218042       1.025487
V_100_95        -1.015555       1.014   1.102924
V_100_96        -1.016595       1.127651        1.02344
V_100_97        -0.9916138      1.071964        1.001596
V_100_98        -1.199136       1.143698        0.8292321
V_100_99        -0.9432998      1.008714        1.105694
V_100_100       -0.8948176      0.9734777       0.9747329
V_101_1 -0.9366278      1.004712        -0.9872689
V_101_2 -0.9966099      1.086683        -1.100982
V_101_3 -0.8923663      1.011127        -1.107053
V_101_4 -1.081585       1.032169        -0.814322
V_101_5 -0.9868488      1.012079        -0.844788
V_101_6 -1.153376       1.072804        -0.9756303
V_101_7 -0.9201093      1.113491        -0.9350986
V_101_8 -0.8409575      1.076512        -1.168842
V_101_9 -1.035266       0.8747149       -0.9798466
V_101_10        -0.9751185      0.9116008       -0.8305914
V_101_11        -1.137855       0.930174        -1.02752
V_101_12        -1.102741       1.251366        -0.7953129
V_101_13        -1.100749       1.040471        -0.9173393
V_101_14        -0.9193175      0.8585444       -1.083523
V_101_15        -1.046503       1.089228        -0.9515019
V_101_16        -0.977497       0.9097732       -0.9510164
V_101_17        -0.9691895      0.9052752       -1.164135
V_101_18        -0.7820951      1.072526        -0.8267577
V_101_19        -0.9940036      1.005873        -1.03001
V_101_20        -1.07426        0.9612961       -0.9077951
V_101_21        -0.9281396      0.8755037       -1.158472
V_101_22        -0.948633       0.9304486       -0.9567385
V_101_23        -1.0318 1.001456        -0.9892017
V_101_24        -0.9572608      1.071634        -0.8962135
V_101_25        -0.9178522      1.068019        -1.037483
V_101_26        -0.9815573      0.9398503       -1.068267
V_101_27        -1.03378        1.052328        -1.279164
V_101_28        -1.174382       1.007463        -0.993688
V_101_29        -1.001379       1.031771        -1.110675
V_101_30        -0.9308701      0.8391805       -0.9968547
V_101_31        -0.8971008      1.203696        -1.073913
V_101_32        -1.072141       0.8582594       -1.074414
V_101_33        -1.006747       0.9888593       -0.7583431
V_101_34        -0.902389       0.9664002       -1.121961
V_101_35        -0.9366195      0.9903324       -0.8643791
V_101_36        -0.8809448      1.143357        -1.012789
V_101_37        -0.980277       1.156706        -1.095144
V_101_38        -0.9163816      0.9578695       -0.9336104
V_101_39        -1.021431       1.095782        -1.000388
V_101_40        -0.9768374      1.044332        -0.8603096
V_101_41        -0.9186749      0.9778628       -0.9978439
V_101_42        -1.091729       1.025677        -0.8780988
V_101_43        -1.005945       0.9294009       -0.9750882
V_101_44        -1.050239       1.143853        -0.9237688
V_101_45        -1.012152       0.9879812       -0.9488128
V_101_46        -0.8726389      0.9809887       -1.049008
V_101_47        -1.070487       1.131404        -0.9999513
V_101_48        -1.035197       0.9317692       -0.9495823
V_101_49        -1.068974       1.079129        -1.106019
V_101_50        -0.7393842      0.9107516       -1.193819
V_101_51        -1.154751       0.9580791       -0.9348537
V_101_52        -0.9911622      0.9897306       -1.046759
V_101_53        -1.066738       0.9951132       -0.9791598
V_101_54        -1.088995       1.188949        -0.9782603
V_101_55        -0.8942809      0.8962473       -1.006735
V_101_56        -1.035174       0.9482439       -0.9738361
V_101_57        -0.9386132      0.9648818       -1.065902
V_101_58        -0.8499893      1.101484        -1.028165
V_101_59        -0.9861987      0.9694817       -1.051674
V_101_60        -1.048702       1.010789        -1.036073
V_101_61        -1.105202       0.9914359       -0.9272731
V_101_62        -1.011482       1.057135        -1.10525
V_101_63        -1.03835        1.087442        -0.8457916
V_101_64        -0.6377134      1.066795        -1.077223
V_101_65        -0.9937593      0.8086354       -1.163032
V_101_66        -1.054192       0.929177        -1.061946
V_101_67        -1.070494       1.04423 -1.132412
V_101_68        -1.041594       1.181485        -0.9235086
V_101_69        -1.036657       0.9558201       -0.8955842
V_101_70        -1.043175       1.17834 -0.9620681
V_101_71        -1.088799       0.9804369       -0.9081861
V_101_72        -1.021753       0.8922817       -1.083824
V_101_73        -0.8949971      1.057043        -1.089271
V_101_74        -1.079525       1.022267        -1.166989
V_101_75        -1.193908       0.9438254       -0.9667324
V_101_76        -1.100798       0.9046813       -1.058765
V_101_77        -0.9440273      0.8836234       -1.156159
V_101_78        -1.068851       1.014083        -0.9622357
V_101_79        -1.04774        1.045488        -0.8392817
V_101_80        -1.009393       1.007902        -1.081558
V_101_81        -1.048144       0.9824801       -0.9790686
V_101_82        -1.008125       1.122605        -0.8473074
V_101_83        -1.035292       1.102041        -1.091023
V_101_84        -1.138159       1.037654        -0.8939566
V_101_85        -1.138663       0.8022755       -0.9626016
V_101_86        -0.9707676      1.12648 -1.118532
V_101_87        -1.208062       1.056587        -1.2501
V_101_88        -0.8872195      1.132077        -1.019038
V_101_89        -1.028948       0.9101316       -1.05887
V_101_90        -0.990071       1.045861        -0.8989903
V_101_91        -0.9873255      0.8088823       -1.020066
V_101_92        -0.8197727      1.070002        -1.01848
